id,headword,created,updated,_order,lemma_id,definition
1255,adsum adesse affuī,2022-11-13 20:45:16.21182+00,2022-11-13 20:45:16.21183+00,15,1246,be present
1256,adveniō -īre -vēnī -ventum,2022-11-13 20:45:16.216276+00,2022-11-13 20:45:16.216286+00,16,1310,"come to, arrive at"
1257,adversum,2022-11-13 20:45:16.220784+00,2022-11-13 20:45:16.220794+00,17,1336,"(adv. and prep.) facing, opposite, against, opposed (to)"
1259,adversus,2022-11-13 20:45:16.230923+00,2022-11-13 20:45:16.230933+00,19,1341,"(adv. and prep.) facing, opposite, against, opposed (to)"
1258,adversus -a -um,2022-11-13 20:45:16.225483+00,2022-11-13 20:45:16.225493+00,18,1339,"facing, opposed; unfavorable"
1260,advertō -vertere -vertī -versum,2022-11-13 20:45:16.235634+00,2022-11-13 20:45:16.235644+00,20,1342,turn towards
1261,aedēs -is f.,2022-11-13 20:45:16.241265+00,2022-11-13 20:45:16.241275+00,21,1376,building; (pl.) house
1262,aeger aegra aegrum,2022-11-13 20:45:16.246267+00,2022-11-13 20:45:16.246277+00,22,1413,sick
1263,aegrē,2022-11-13 20:45:16.250988+00,2022-11-13 20:45:16.250998+00,23,1444,with difficulty
1264,aequē,2022-11-13 20:45:16.255459+00,2022-11-13 20:45:16.255469+00,24,1533,equally
1265,aequor aequoris n.,2022-11-13 20:45:16.260109+00,2022-11-13 20:45:16.260119+00,25,1568,"level surface, sea, plain"
1266,aequus -a -um,2022-11-13 20:45:16.264821+00,2022-11-13 20:45:16.264831+00,26,1571,equal
1267,āēr āeris m.,2022-11-13 20:45:16.269469+00,2022-11-13 20:45:16.26948+00,27,1572,air
1268,aes aeris n.,2022-11-13 20:45:16.274261+00,2022-11-13 20:45:16.274271+00,28,1605,"copper, bronze"
1269,aetās -tātis f.,2022-11-13 20:45:16.278882+00,2022-11-13 20:45:16.278892+00,29,1661,"age, time of life"
1270,aeternus -a -um,2022-11-13 20:45:16.283548+00,2022-11-13 20:45:16.283559+00,30,1669,"everlasting, eternal"
1271,aethēr aetheris n.,2022-11-13 20:45:16.2892+00,2022-11-13 20:45:16.28921+00,31,1671,"pure upper air, ether, heaven, sky"
1272,aevum -i n.,2022-11-13 20:45:16.29372+00,2022-11-13 20:45:16.29373+00,32,1698,"eternity; lifetime, age"
1273,afferō afferre attulī allātum,2022-11-13 20:45:16.298037+00,2022-11-13 20:45:16.298048+00,33,1721,bring to
1274,afficiō -ficere -fēcī -fectum,2022-11-13 20:45:16.302816+00,2022-11-13 20:45:16.302826+00,34,1724,"affect, visit with (+ abl.)"
1275,ager agrī m.,2022-11-13 20:45:16.307391+00,2022-11-13 20:45:16.307401+00,35,1819,field
1276,agitō -āre,2022-11-13 20:45:16.312376+00,2022-11-13 20:45:16.312387+00,36,1859,drive
1287,āgmen -minis n.,2022-11-13 20:45:16.366683+00,2022-11-13 20:45:16.366693+00,47,1866,line of march
1277,agō agere ēgī āctum,2022-11-13 20:45:16.317117+00,2022-11-13 20:45:16.317127+00,37,1890,"drive, do, act"
1278,aiō,2022-11-13 20:45:16.32174+00,2022-11-13 20:45:16.32175+00,38,1955,"say, affirm, say yes; ut āiunt: as they say"
1279,albus -a -um,2022-11-13 20:45:16.326324+00,2022-11-13 20:45:16.326335+00,39,2047,white
1280,aliēnus -a -um,2022-11-13 20:45:16.330864+00,2022-11-13 20:45:16.330874+00,40,2156,"foreign, strange"
1281,aliquandō,2022-11-13 20:45:16.336652+00,2022-11-13 20:45:16.336662+00,41,2176,"at some time, at length"
1282,aliquis -quae -quod,2022-11-13 20:45:16.341371+00,2022-11-13 20:45:16.341383+00,42,2190,"some, any; si quis, si quid: anyone who, anything that"
1283,aliter,2022-11-13 20:45:16.346314+00,2022-11-13 20:45:16.346325+00,43,2202,"otherwise, differently"
1284,alius -a -ud,2022-11-13 20:45:16.351568+00,2022-11-13 20:45:16.351581+00,44,2208,"other, another; ālias: at another time"
1285,alō alere aluī alitum,2022-11-13 20:45:16.356505+00,2022-11-13 20:45:16.356515+00,45,2282,nourish
1286,alter altera alterum,2022-11-13 20:45:16.3621+00,2022-11-13 20:45:16.362115+00,46,2312,other of two
1288,altus -a -um,2022-11-13 20:45:16.371567+00,2022-11-13 20:45:16.371577+00,48,2356,"high, lofty; deep"
1289,amīca -i f.,2022-11-13 20:45:16.376364+00,2022-11-13 20:45:16.376374+00,49,2553,friend
1290,amīcitia -ae f.,2022-11-13 20:45:16.381019+00,2022-11-13 20:45:16.381029+00,50,2562,friendship
1291,amīcus -a -um,2022-11-13 20:45:16.386463+00,2022-11-13 20:45:16.386473+00,51,2571,friendly
1292,amīcus -i m.,2022-11-13 20:45:16.39113+00,2022-11-13 20:45:16.39114+00,52,2572,friend
1293,āmittō -mittere -mīsī -missum,2022-11-13 20:45:16.395594+00,2022-11-13 20:45:16.395605+00,53,2595,"let go, send away"
1294,amnis -is m.,2022-11-13 20:45:16.400155+00,2022-11-13 20:45:16.400165+00,54,2608,"river, torrent"
1295,amō -āre,2022-11-13 20:45:16.405298+00,2022-11-13 20:45:16.405308+00,55,2609,to love; amāns -ntis m./f.: lover
1296,amor -ōris m.,2022-11-13 20:45:16.410988+00,2022-11-13 20:45:16.410998+00,56,2622,love
1297,amplus -a -um,2022-11-13 20:45:16.415685+00,2022-11-13 20:45:16.415696+00,57,2702,"large, spacious"
1298,an,2022-11-13 20:45:16.420239+00,2022-11-13 20:45:16.420249+00,58,2748,or (in questions); utrum ... an: whether ... or
1299,anima -ae f.,2022-11-13 20:45:16.424692+00,2022-11-13 20:45:16.424702+00,59,2968,"breath, spirit"
1300,animal -ālis n.,2022-11-13 20:45:16.429296+00,2022-11-13 20:45:16.429306+00,60,2974,"a living being, an animal"
1301,animus -ī m.,2022-11-13 20:45:16.433846+00,2022-11-13 20:45:16.433856+00,61,2992,"spirit, mind"
1302,annus -ī m.,2022-11-13 20:45:16.438427+00,2022-11-13 20:45:16.438437+00,62,3046,year
2300,"annus, annī, m.",2022-11-13 20:45:21.732678+00,2022-11-14 19:56:48.466523+00,35,3045,year
1303,ante,2022-11-13 20:45:16.443136+00,2022-11-13 20:45:16.443146+00,63,3081,"before, in front of (adv. and prep. + acc.)"
1304,antequam,2022-11-13 20:45:16.447769+00,2022-11-13 20:45:16.447779+00,64,3150,before
1305,antīquus -a -um,2022-11-13 20:45:16.452427+00,2022-11-13 20:45:16.452437+00,65,3262,"ancient, old-time, former"
1306,aperiō aperīre aperuī apertum,2022-11-13 20:45:16.457628+00,2022-11-13 20:45:16.457639+00,66,3360,open
1307,appāreō -ēre -uī,2022-11-13 20:45:16.462887+00,2022-11-15 00:26:30.844274+00,67,3508,"appear, become visible"
1308,appellō -pellāre,2022-11-13 20:45:16.467663+00,2022-11-13 20:45:16.467673+00,68,3522,"call, address, name"
1309,aptus -a -um,2022-11-13 20:45:16.472258+00,2022-11-13 20:45:16.472268+00,69,3622,"fit, suitable"
1310,apud,2022-11-13 20:45:16.476756+00,2022-11-14 20:41:35.050035+00,70,3623,"near, in the presence of (+ acc.)"
1311,aqua -ae f.,2022-11-13 20:45:16.481205+00,2022-11-13 20:45:16.481215+00,71,3631,water
1312,āra -ae f.,2022-11-13 20:45:16.485749+00,2022-11-13 20:45:16.485759+00,72,3691,altar
1313,arbitror arbitrārī arbitrātus sum,2022-11-13 20:45:16.490351+00,2022-11-13 20:45:16.490361+00,73,3751,"consider, think"
1314,arbor arboris f.,2022-11-13 20:45:16.494792+00,2022-11-13 20:45:16.494802+00,74,3753,tree
1315,ārdeō ārdēre ārsī ārsum,2022-11-13 20:45:16.499199+00,2022-11-13 20:45:16.499209+00,75,3870,"blaze, glow; be eager"
1316,argentum -ī n.,2022-11-13 20:45:16.503939+00,2022-11-13 20:45:16.503949+00,76,3939,"silver, money"
2307,"argentum, argentī, n.",2022-11-13 20:45:21.763846+00,2022-11-14 19:42:18.06523+00,42,3938,silver
1317,arma -ōrum n. pl.,2022-11-13 20:45:16.508452+00,2022-11-13 20:45:16.508462+00,77,4071,"arms, weapons"
1318,ars artis f.,2022-11-13 20:45:16.512972+00,2022-11-13 20:45:16.512982+00,78,4170,skill
2308,"ars, artis, f.",2022-11-13 20:45:21.768317+00,2022-11-14 19:37:15.707519+00,43,4169,"art, skill"
1319,arvum -ī n.,2022-11-13 20:45:16.517459+00,2022-11-13 20:45:16.517469+00,79,4250,"ploughed land, field"
1320,arx arcis f.,2022-11-13 20:45:16.522004+00,2022-11-15 00:34:04.122273+00,80,4252,"citadel, castle; summit"
1321,ascendō -ere -scendī -scēnsum,2022-11-13 20:45:16.526503+00,2022-11-13 20:45:16.526513+00,81,4278,"climb up, ascend"
1322,aspiciō -ere -spēxī -spectum,2022-11-13 20:45:16.530862+00,2022-11-13 20:45:16.530873+00,82,4399,"look to or at, behold"
1323,astrum -ī n.,2022-11-13 20:45:16.535469+00,2022-11-13 20:45:16.535479+00,83,4583,star; constellation
1324,at,2022-11-13 20:45:16.539999+00,2022-11-13 20:45:16.540009+00,84,4619,"but, but yet"
1326,atque,2022-11-13 20:45:16.548994+00,2022-11-13 20:45:16.549004+00,86,4712,"and in addition, and also, and; (after comparatives) than; simul atque, as soon as; → ac"
1327,auctor -ōris m.,2022-11-13 20:45:16.554074+00,2022-11-13 20:45:16.554084+00,87,4857,"originator, founder"
1328,auctōritās -ātis f.,2022-11-13 20:45:16.558924+00,2022-11-13 20:45:16.558935+00,88,4859,"influence, clout, authority"
1329,audāx audācis,2022-11-13 20:45:16.563657+00,2022-11-13 20:45:16.563667+00,89,4879,"bold, daring; reckless"
1330,audeō audēre ausus sum,2022-11-13 20:45:16.568181+00,2022-11-13 20:45:16.568191+00,90,4883,"dare, be eager"
1331,audiō -īre -īvī/-iī -ītum,2022-11-13 20:45:16.572696+00,2022-11-13 20:45:16.572706+00,91,4887,"hear, listen to"
1332,auferō auferre abstulī ablātum,2022-11-13 20:45:16.577112+00,2022-11-13 20:45:16.577122+00,92,4898,take away
1333,augeō augēre auxī auctum,2022-11-13 20:45:16.581556+00,2022-11-13 20:45:16.581567+00,93,4906,increase
1334,aura -ae f.,2022-11-13 20:45:16.585968+00,2022-11-13 20:45:16.585978+00,94,4963,breeze
1335,aureus -a -um,2022-11-13 20:45:16.590634+00,2022-11-13 20:45:16.590644+00,95,4977,golden; splendid
1336,auris -is f.,2022-11-13 20:45:16.59507+00,2022-11-13 20:45:16.59508+00,96,5001,ear
1337,aurum -ī n.,2022-11-13 20:45:16.599703+00,2022-11-13 20:45:16.599714+00,97,5014,gold
1338,aut,2022-11-13 20:45:16.604461+00,2022-11-13 20:45:16.604471+00,98,5057,or
1339,autem,2022-11-13 20:45:16.610549+00,2022-11-13 20:45:16.610559+00,99,5058,"moreover, but, however"
1340,auxilium -ī n.,2022-11-13 20:45:16.616064+00,2022-11-13 20:45:16.616074+00,100,5095,"support, assistance; (pl.) auxiliary forces"
1341,avis -is f.,2022-11-13 20:45:16.620435+00,2022-11-13 20:45:16.620445+00,101,5152,bird
1342,barbarus -ī m.,2022-11-13 20:45:16.625186+00,2022-11-13 20:45:16.625196+00,102,5382,"foreigner, barbarian"
611,"beātus, beāta, beātum",2022-11-13 20:45:12.506451+00,2022-11-15 00:03:23.673168+00,74,5523,"happy, blessed; prosperous"
1344,bellum -ī n.,2022-11-13 20:45:16.635264+00,2022-11-13 20:45:16.635274+00,104,5580,war
1345,bene,2022-11-13 20:45:16.640093+00,2022-11-13 20:45:16.640103+00,105,5597,well
1346,beneficium -ī n.,2022-11-13 20:45:16.644499+00,2022-11-13 20:45:16.644509+00,106,5609,"service, kindness"
1347,bonus -a -um,2022-11-13 20:45:16.648967+00,2022-11-13 20:45:16.648977+00,107,6007,good
1348,bōs bovis m.,2022-11-13 20:45:16.653575+00,2022-11-13 20:45:16.65359+00,108,6025,ox; gen. pl. boum
1349,brevis -e,2022-11-13 20:45:16.658285+00,2022-11-13 20:45:16.658294+00,109,6130,"short, shallow, brief"
1350,breviter,2022-11-13 20:45:16.663247+00,2022-11-13 20:45:16.663257+00,110,6132,briefly
1351,cadō cadere cecidī cāsum,2022-11-13 20:45:16.667848+00,2022-11-13 20:45:16.667858+00,111,6442,"fall, be killed"
1352,caecus -a -um,2022-11-13 20:45:16.672476+00,2022-11-13 20:45:16.672485+00,112,6474,"blind, unseeing; dark, obscure"
1353,caedēs -is f.,2022-11-13 20:45:16.676948+00,2022-11-13 20:45:16.676958+00,113,6476,"killing, slaughter"
1354,caedō caedere cecīdī caesum,2022-11-13 20:45:16.68169+00,2022-11-13 20:45:16.6817+00,114,6477,"strike, kill, cut down"
1355,caelestis -e,2022-11-13 20:45:16.686242+00,2022-11-13 20:45:16.686252+00,115,6487,"from or of heaven; caelestēs, the gods"
1356,caelum -ī n.,2022-11-13 20:45:16.691011+00,2022-11-13 20:45:16.691022+00,116,6507,"sky, heavens"
1357,campus -ī m.,2022-11-13 20:45:16.69559+00,2022-11-13 20:45:16.695601+00,117,6877,"plain, field"
1358,candidus -a -um,2022-11-13 20:45:16.700168+00,2022-11-13 20:45:16.700178+00,118,6934,"white, fair"
1359,canis -is m./f.,2022-11-13 20:45:16.704682+00,2022-11-13 20:45:16.704692+00,119,6959,dog
1360,canō canere cecinī cantum,2022-11-13 20:45:16.710006+00,2022-11-13 20:45:16.710016+00,120,6978,sing
1361,capiō capere cēpī captum,2022-11-13 20:45:16.714605+00,2022-11-13 20:45:16.714615+00,121,7071,seize
1362,caput capitis n.,2022-11-13 20:45:16.71911+00,2022-11-13 20:45:16.71912+00,122,7172,head
1363,careō -ēre -uī,2022-11-13 20:45:16.723502+00,2022-11-13 20:45:16.723512+00,123,7238,lack (+ abl.)
1364,carmen -inis n.,2022-11-13 20:45:16.728317+00,2022-11-13 20:45:16.728327+00,124,7263,song
1365,cārus -a -um,2022-11-13 20:45:16.732877+00,2022-11-13 20:45:16.732887+00,125,7361,dear
1366,castrum -ī n.,2022-11-13 20:45:16.737653+00,2022-11-13 20:45:16.737664+00,126,7475,"fortress, (regularly plural, castra camp)"
1367,castus -a -um,2022-11-13 20:45:16.742063+00,2022-11-13 20:45:16.742074+00,127,7481,"pure, spotless, chaste"
1368,cāsus -ūs m.,2022-11-13 20:45:16.746584+00,2022-11-13 20:45:16.746594+00,128,7486,"a fall; chance, accident"
1369,causa -ae f.,2022-11-13 20:45:16.751402+00,2022-11-13 20:45:16.751412+00,129,7658,"cause, reason; causā + preceding genitive, for the sake of"
1370,caveō cavēre cāvī cautum,2022-11-13 20:45:16.75596+00,2022-11-13 20:45:16.755971+00,130,7704,"be on guard, beware"
1371,cēdō cēdere cessī cessum,2022-11-13 20:45:16.760435+00,2022-11-13 20:45:16.760445+00,131,7741,"go, move; yield"
1372,celebrō -āre,2022-11-13 20:45:16.765202+00,2022-11-13 20:45:16.765213+00,132,7763,"frequent, throng, crowd"
1373,celer -is -e,2022-11-13 20:45:16.769933+00,2022-11-13 20:45:16.769943+00,133,7769,swift
1374,celeriter,2022-11-13 20:45:16.774518+00,2022-11-13 20:45:16.774528+00,134,7776,quickly
1375,cēnseō cēnsēre cēnsuī cēnsum,2022-11-13 20:45:16.779044+00,2022-11-13 20:45:16.779054+00,135,7837,"assess, rate; think, decide"
1376,centum,2022-11-13 20:45:16.783484+00,2022-11-13 20:45:16.783494+00,136,7888,one hundred
1377,cernō cernere crēvī crētum,2022-11-13 20:45:16.787964+00,2022-11-13 20:45:16.787974+00,137,8017,"discern, separate"
1378,certē,2022-11-13 20:45:16.792315+00,2022-11-13 20:45:16.792325+00,138,8043,"certainly, surely"
1379,certō -āre,2022-11-13 20:45:16.796989+00,2022-11-13 20:45:16.796999+00,139,8047,"decide by contest; fight, compete, vie"
1380,certus -a -um,2022-11-13 20:45:16.801964+00,2022-11-13 20:45:16.801974+00,140,8050,"sure, fixed"
1381,cēterum,2022-11-13 20:45:16.806359+00,2022-11-13 20:45:16.806369+00,141,8095,"for the rest, in addition, however that may be"
1382,cēterus -a -um,2022-11-13 20:45:16.810889+00,2022-11-13 20:45:16.810899+00,142,8096,"the other, the others, the rest"
1383,cibus -ī m.,2022-11-13 20:45:16.815314+00,2022-11-13 20:45:16.815324+00,143,8419,food
1384,cingō cingere cīnxī cīnctum,2022-11-13 20:45:16.819835+00,2022-11-13 20:45:16.819845+00,144,8522,"encircle, surround, gird"
1385,cinis cineris m./f.,2022-11-13 20:45:16.82452+00,2022-11-13 20:45:16.82453+00,145,8528,"ashes, embers"
1386,circā,2022-11-13 20:45:16.82908+00,2022-11-13 20:45:16.82909+00,146,8554,around (adv. and prep. + acc.)
1387,citō,2022-11-13 20:45:16.833675+00,2022-11-13 20:45:16.833685+00,147,8914,swiftly
1388,citus -a -um,2022-11-13 20:45:16.838396+00,2022-11-13 20:45:16.838406+00,148,8927,swift
1389,cīvis -is m./f.,2022-11-13 20:45:16.843126+00,2022-11-13 20:45:16.843136+00,149,8935,citizen
1390,cīvitās -ātis f.,2022-11-13 20:45:16.847721+00,2022-11-13 20:45:16.847731+00,150,8936,"citizenship, state"
1391,clāmor -ōris m.,2022-11-13 20:45:16.852334+00,2022-11-13 20:45:16.852344+00,151,8951,"outcry, shout"
1392,clārus -a -um,2022-11-13 20:45:16.856913+00,2022-11-13 20:45:16.856923+00,152,8981,"clear, distinguished"
1393,classis -is f.,2022-11-13 20:45:16.861404+00,2022-11-13 20:45:16.861414+00,153,8987,"class, division, fleet"
1394,claudō claudere clausī clausum,2022-11-13 20:45:16.866229+00,2022-11-13 20:45:16.86624+00,154,9004,"close, shut"
1395,coepī coepisse coeptus,2022-11-13 20:45:16.870643+00,2022-11-13 20:45:16.870653+00,155,9343,begin
1396,cōgitō -āre,2022-11-13 20:45:16.876442+00,2022-11-13 20:45:16.876452+00,156,9383,"think, reflect"
1397,cōgnōscō -gnōscere -gnōvī -gnitum,2022-11-13 20:45:16.880826+00,2022-11-13 20:45:16.880836+00,157,9404,"learn, understand"
1398,cōgō cōgere coēgī coāctum,2022-11-13 20:45:16.885358+00,2022-11-13 20:45:16.885369+00,158,9405,drive together; compel
1399,cohors cohortis f.,2022-11-13 20:45:16.889857+00,2022-11-13 20:45:16.889868+00,159,9424,"cohort, band, troop"
1400,colligō -ere -lēgī -lēctum,2022-11-13 20:45:16.894586+00,2022-11-13 20:45:16.894596+00,160,9544,"gather together, collect"
1401,colō colere coluī cultum,2022-11-13 20:45:16.899276+00,2022-11-13 20:45:16.899286+00,161,9604,"inhabit, cultivate"
1402,color -ōris m.,2022-11-13 20:45:16.903757+00,2022-11-13 20:45:16.903767+00,162,9625,color
1403,coma -ae f.,2022-11-13 20:45:16.908385+00,2022-11-13 20:45:16.908396+00,163,9686,"hair, tresses"
1404,comes comitis m./f.,2022-11-13 20:45:16.913201+00,2022-11-13 20:45:16.913211+00,164,9717,"companion, comrade; attendant, follower"
1405,committō -mittere -mīsī -missum,2022-11-13 20:45:16.917751+00,2022-11-13 20:45:16.917761+00,165,9882,"join, entrust to (+ dat.); perform, do"
1406,commūnis -e,2022-11-13 20:45:16.922295+00,2022-11-13 20:45:16.922305+00,166,9946,"common, general"
1407,comparō -āre,2022-11-13 20:45:16.926849+00,2022-11-13 20:45:16.92686+00,167,10000,"get ready, provide; compare"
1408,compōnō -pōnere posuī positum,2022-11-13 20:45:16.931355+00,2022-11-13 20:45:16.931365+00,168,10100,"build, construct, arrange"
1409,concēdō -cēdere -cessī -cessum,2022-11-13 20:45:16.93598+00,2022-11-13 20:45:16.93599+00,169,10213,"yield, withdraw"
1410,condīciō -ōnis f.,2022-11-13 20:45:16.940342+00,2022-11-13 20:45:16.940353+00,170,10422,"agreement, condition"
1411,condō -dere -didī -ditum,2022-11-13 20:45:16.944894+00,2022-11-13 20:45:16.944904+00,171,10452,"build, found; store up; hide, conceal"
1412,cōnferō cōnferre contulī collātum,2022-11-13 20:45:16.949457+00,2022-11-13 20:45:16.949467+00,172,10508,"collect, bring to"
1413,cōnficiō -ficere -fēcī -fectum,2022-11-13 20:45:16.953858+00,2022-11-13 20:45:16.953868+00,173,10527,"complete, accomplish; destroy, kill, consume"
1414,cōnfiteor cōnfitērī cōnfessus sum,2022-11-13 20:45:16.958243+00,2022-11-13 20:45:16.958254+00,174,10562,"admit (a fact), confess (a crime); reveal, disclose"
1415,coniunx coniugis m./f.,2022-11-13 20:45:16.963789+00,2022-11-13 20:45:16.963799+00,175,10767,"spouse, husband, wife"
1416,cōnor cōnārī cōnātus sum,2022-11-13 20:45:16.968484+00,2022-11-13 20:45:16.968495+00,176,10839,"try, attempt"
1417,cōnsequor -sequī -secūtus sum,2022-11-13 20:45:16.97294+00,2022-11-13 20:45:16.97295+00,177,10999,"follow up, overtake, attain"
1418,cōnsilium -ī n.,2022-11-13 20:45:16.977594+00,2022-11-13 20:45:16.977605+00,178,11043,"plan; council, group of advisors"
1419,cōnsistō -sistere -stitī,2022-11-13 20:45:16.982006+00,2022-11-13 20:45:16.982016+00,179,11051,"take position; consist in, be composed of"
1420,cōnstituō -stituere -stituī -stitūtum,2022-11-13 20:45:16.986432+00,2022-11-13 20:45:16.986442+00,180,11150,"establish, put together"
1421,cōnstō -stāre -stitī,2022-11-13 20:45:16.990789+00,2022-11-13 20:45:16.9908+00,181,11157,"agree; constat, it is established that (+ acc. and infin.)"
1422,cōnsuētūdo -inis f.,2022-11-13 20:45:16.995327+00,2022-11-13 20:45:16.995337+00,182,11184,"custom, habit"
1423,cōnsul -ulis m.,2022-11-13 20:45:16.999783+00,2022-11-13 20:45:16.999793+00,183,11187,consul
1424,cōnsulō -sulere -suluī -sultum,2022-11-13 20:45:17.004311+00,2022-11-13 20:45:17.004321+00,184,11194,"consult, plan (+ acc.); consider the interests of (+ dat.)"
1425,cōnsūmō -sūmere -sūmpsī -sūmptum,2022-11-13 20:45:17.009199+00,2022-11-13 20:45:17.009209+00,185,11213,"to use up, consume"
1426,contemnō -temnere -tempsī -temptum,2022-11-13 20:45:17.01354+00,2022-11-13 20:45:17.013551+00,186,11253,"despise, scorn, disdain"
1427,contineō -tinēre -tinuī -tentum,2022-11-13 20:45:17.017877+00,2022-11-13 20:45:17.017887+00,187,11321,"contain, restrain"
1428,contingō -tingere -tigī -tactum,2022-11-13 20:45:17.022241+00,2022-11-13 20:45:17.022251+00,188,11322,"touch, be contiguous to"
1429,contrā,2022-11-13 20:45:17.026865+00,2022-11-13 20:45:17.026875+00,189,11351,"against, opposite (adv. and prep. + acc.)"
1430,conveniō -venīre -vēnī -ventum,2022-11-13 20:45:17.03129+00,2022-11-13 20:45:17.0313+00,190,11466,"assemble, meet; agree"
1431,convertō -vertere -vertī -versum,2022-11-13 20:45:17.035767+00,2022-11-13 20:45:17.035778+00,191,11489,"turn about, turn, change"
1432,convīvium -iī n.,2022-11-13 20:45:17.040375+00,2022-11-13 20:45:17.040385+00,192,11518,"banquet, feast"
1433,cōpia -ae f.,2022-11-13 20:45:17.044935+00,2022-11-13 20:45:17.044945+00,193,11557,abundance; (pl.) troops
1434,cor cordis n.,2022-11-13 20:45:17.049473+00,2022-11-13 20:45:17.049483+00,194,11557,"heart; cordī est, it is pleasing to (+ dat.)"
1435,cornu -ūs n.,2022-11-13 20:45:17.054021+00,2022-11-13 20:45:17.054031+00,195,11613,horn
1436,corpus corporis n.,2022-11-13 20:45:17.059167+00,2022-11-13 20:45:17.059177+00,196,11759,body
1437,corrumpō -rumpere -rūpī -ruptum,2022-11-13 20:45:17.063812+00,2022-11-13 20:45:17.063822+00,197,11791,"break up, destroy, ruin"
1438,crēdō crēdere crēdidī crēditum,2022-11-13 20:45:17.068584+00,2022-11-13 20:45:17.068595+00,198,12052,believe
1439,creō -āre,2022-11-13 20:45:17.07305+00,2022-11-13 20:45:17.073061+00,199,12071,"produce, create; elect, choose"
1440,crēscō crēscere crēvī crētum,2022-11-13 20:45:17.077697+00,2022-11-13 20:45:17.077707+00,200,12095,"grow, increase"
1441,crīmen -inis n.,2022-11-13 20:45:17.082248+00,2022-11-13 20:45:17.082257+00,201,12128,"verdict, accusation"
1442,culpa -ae f.,2022-11-13 20:45:17.086691+00,2022-11-13 20:45:17.086701+00,202,12362,"guilt, fault, blame"
1443,cum,2022-11-13 20:45:17.091472+00,2022-11-13 20:45:17.091482+00,203,12385,with (prep. + abl.)
1444,cum,2022-11-13 20:45:17.096092+00,2022-11-13 20:45:17.096102+00,204,12386,"when, since, although (conjunction + subj.)"
1445,cūnctus -a -um,2022-11-13 20:45:17.100868+00,2022-11-13 20:45:17.100878+00,205,12425,entire all together
1446,cupīdō -inis f.,2022-11-13 20:45:17.105359+00,2022-11-13 20:45:17.105369+00,206,12454,"desire, eagerness, craving"
1447,cupiō -ere -īvī -ītum,2022-11-13 20:45:17.109929+00,2022-11-13 20:45:17.109939+00,207,12459,desire
1448,cūr,2022-11-13 20:45:17.114571+00,2022-11-15 00:17:10.28893+00,208,12477,why?
1449,cūra -ae f.,2022-11-13 20:45:17.119173+00,2022-11-13 20:45:17.119184+00,209,12479,"care, concern"
1450,cūrō -āre,2022-11-13 20:45:17.123735+00,2022-11-13 20:45:17.123745+00,210,12525,"watch over, look after, care for (+ acc.)"
1451,currō currere cucurrī cursum,2022-11-13 20:45:17.128327+00,2022-11-13 20:45:17.128337+00,211,12529,run
1452,currus -ūs m.,2022-11-13 20:45:17.132817+00,2022-11-13 20:45:17.132827+00,212,12532,chariot
1453,cursus -ūs m.,2022-11-13 20:45:17.137251+00,2022-11-13 20:45:17.137261+00,213,12546,"course, advance"
1454,custōs custōdis m.,2022-11-13 20:45:17.142004+00,2022-11-13 20:45:17.142014+00,214,12579,guardian
1455,damnō -āre,2022-11-13 20:45:17.147459+00,2022-11-13 20:45:17.147469+00,215,12840,condemn
