id,headword,created,updated,_order,lemma_id,definition
1240,ā ab abs,2022-11-13 20:45:16.143483+00,2022-11-13 20:45:16.143493+00,0,8,"from, by (+ abl.)"
1241,abeō -īre -iī -itum,2022-11-13 20:45:16.148002+00,2022-11-13 20:45:16.148013+00,1,79,go away
1242,absum abesse āfuī,2022-11-13 20:45:16.152315+00,2022-11-13 20:45:16.152325+00,2,298,"be away, absent"
1325,ac,2022-11-13 20:45:16.544487+00,2022-11-13 20:45:16.544497+00,85,4712,"and in addition, and also, and; (after comparatives) than; simul ac, as soon as; → atque"
1243,accēdō -cēdere -cessī -cessum,2022-11-13 20:45:16.156718+00,2022-11-13 20:45:16.156728+00,3,372,approach
1244,accidō -cidere -cidī,2022-11-13 20:45:16.161464+00,2022-11-13 20:45:16.161474+00,4,409,fall; happen
1245,accipiō -cipere -cēpī -ceptum,2022-11-13 20:45:16.166218+00,2022-11-13 20:45:16.166228+00,5,415,receive
1246,ācer ācris ācre,2022-11-13 20:45:16.171474+00,2022-11-13 20:45:16.171484+00,6,494,"sharp, piercing"
1247,aciēs -ēī f.,2022-11-13 20:45:16.176069+00,2022-11-13 20:45:16.176078+00,7,587,edge; line of battle
1248,ad,2022-11-13 20:45:16.180632+00,2022-11-13 20:45:16.180642+00,8,735,"to, up to, towards (+ acc.)"
1249,addō -dere -didī -ditum,2022-11-13 20:45:16.184973+00,2022-11-13 20:45:16.184983+00,9,803,give to
1250,addūcō -ere -dūxī -ductum,2022-11-13 20:45:16.189458+00,2022-11-13 20:45:16.189469+00,10,809,"lead to, induce"
1252,adeō,2022-11-13 20:45:16.198586+00,2022-11-13 20:45:16.198596+00,12,827,"(adv.) to such a degree, so"
1251,adeō -īre -iī -itum,2022-11-13 20:45:16.194001+00,2022-11-13 20:45:16.194011+00,11,826,go to
1253,adhibeō -hibēre -hibuī -hibitum,2022-11-13 20:45:16.202875+00,2022-11-13 20:45:16.202885+00,13,879,apply
1254,adhūc,2022-11-13 20:45:16.207382+00,2022-11-13 20:45:16.207392+00,14,892,"thus far, to this point"
